Country,FSECI
Afghanistan,60.522450813952865
Albania,53.19133676455782
Algeria,55.913683847847906
Andorra,59.442306883003866
Angola,58.36260669132331
Anguilla,57.45386895230552
Antigua and Barbuda,60.73551559100579
Argentina,58.46697098828834
Armenia,55.581168706052054
Aruba,59.121570951520226
Australia,55.65788758166939
Austria,58.28792753666053
Azerbaijan,51.00464505625641
Bahamas,60.10580530083453
Bahrain,57.594689085616714
Bangladesh,52.86232459260092
Barbados,60.948532718755565
Belarus,57.91738934047096
Belgium,64.0201724140118
Belgium-Luxembourg,63.72879484550573
Belize,60.121151825268555
Benin,57.48045875562974
Bermuda,52.83932302352834
Bhutan,56.29701693153437
Bolivia,54.14308353141319
Bosnia and Herzegovina,60.20306928106896
Botswana,60.38636157210098
Brazil,56.46712635191466
Brunei,57.572422468732725
Bulgaria,56.69530119401408
Burkina Faso,51.300479775132
Burundi,58.78320296875864
Cambodia,55.39868521436503
Cameroon,58.05494184301098
Canada,60.27875646002593
Cape Verde,55.7519019477386
Central African Republic,59.18989673892795
Chile,56.12466350988409
China,59.17902530292264
Colombia,56.0806793850243
Comoros,52.63244105289336
Congo,57.74105530119171
Cook Islands,59.691629283708195
Costa Rica,59.49950845755061
Croatia,57.81937880922299
Cuba,61.07927351085703
Cyprus,57.51543776571637
Czech Republic,56.20668023253516
Czechoslovakia,53.38991459822772
Denmark,59.39647485039268
Djibouti,42.50302729271293
Dominica,62.46813599258948
Dominican Republic,58.311466076734206
East Timor,42.41237462882917
Ecuador,55.686409952884645
Egypt,55.50908010864398
El Salvador,58.35199022514817
Eritrea,60.44539025165989
Estonia,57.06004585989393
Eswatini,60.87344898002082
Ethiopia,56.387428384187146
European Union,75.6346256986494
Faroe Islands,60.85261150670837
Fiji,62.40870100235985
Finland,59.69526522618666
France,61.050421003065665
French Guiana,59.08307864244874
French Polynesia,61.57225911475358
Gabon,57.24366454664924
Gambia,55.301462303949776
Georgia,55.74157023827705
Germany,60.41145663129845
Ghana,52.498112267961446
Greece,57.07442775556103
Greenland,61.33800962440513
Grenada,59.629038715205425
Guadeloupe,63.08285341091259
Guatemala,56.099468520704974
Guinea,56.996818424243074
Guinea-Bissau,58.66421045051389
Guyana,54.69058563713715
Haiti,54.16476320472863
Honduras,55.88709706745916
Hong Kong,35.46988963900283
Hungary,56.57670248042474
Iceland,58.3653917108405
India,53.28391962215498
Indonesia,57.06178622559612
Iran,57.26918384010746
Iraq,57.169867230029055
Ireland,58.1390893652551
Israel,57.891183826639306
Italy,60.11295512164298
Ivory Coast,58.96145616584104
Jamaica,61.55239780857519
Japan,61.81269090886075
Jordan,55.84704739135992
Kazakhstan,54.87769235116889
Kenya,57.15730987836304
Kiribati,57.93219186136835
Kuwait,51.38509857206928
Kyrgyzstan,57.974558425645455
Laos,58.74907949681233
Latvia,55.18983751295916
Lebanon,55.95572704678223
Lesotho,59.43300114473111
Libya,61.06941503271669
Lithuania,54.870348791644304
Luxembourg,61.98380472957706
Macau,55.89078180285996
Madagascar,54.03050180081597
Malawi,58.7740071598989
Malaysia,57.38092057624807
Maldives,59.830240078375326
Mali,55.313072328914984
Malta,58.19753031869307
Martinique,62.9913534856003
Mauritania,57.20545655224604
Mauritius,62.00851653685355
Mayotte,60.59010781358853
Mexico,56.86999285444615
Micronesia,57.85564782420282
Moldova,58.03851959044779
Mongolia,51.57933618008265
Montenegro,62.63468757737122
Montserrat,30.484602229848377
Morocco,57.02855371709059
Mozambique,54.47497840892046
Myanmar,59.418429350390966
Namibia,58.77263884636076
Nepal,61.55405465755068
Netherlands,58.373274489635335
Netherlands Antilles,62.065910723348864
New Caledonia,58.66360827072855
New Zealand,57.68203655471956
Nicaragua,52.56388675425469
Niger,54.65089003211758
Nigeria,55.0819948554898
North Macedonia,56.2618322391788
Norway,57.61506865969584
Oman,54.30163932160454
Organization of American States,58.979826854479846
Pakistan,58.78495439195984
Palau,61.211564190290005
Palestine,56.45803592969611
Panama,41.66947870724848
Papua New Guinea,58.34506282311173
Paraguay,54.106364876779864
Peru,55.06347631847903
Philippines,58.89484460163965
Poland,55.132947504277325
Portugal,58.123864199065736
Qatar,51.741426290850455
Reunion,62.99997553655774
Romania,54.05323336671802
Russia,59.25427122025823
Rwanda,51.908463065677395
Saint Kitts and Nevis,61.584516147303006
Saint Lucia,59.34229206807615
Saint Vincent and the Grenadines,62.80265363385363
Samoa,60.520301088044505
Sao Tome and Principe,58.13014579447787
Saudi Arabia,56.45926460053072
Senegal,55.725021410992625
Serbia,55.138537732534886
Seychelles,54.271582058928686
Sierra Leone,48.23640687639384
Singapore,57.6971566051799
Slovakia,55.891344932832425
Slovenia,57.58393755656782
Solomon Islands,56.03567212998281
South Africa,57.65231112989488
South Korea,56.72053512376547
South Sudan,44.48381450073612
Spain,57.731521128735686
Sri Lanka,58.63449077923029
Sudan,49.4168101711676
Suriname,56.91766659110874
Sweden,59.5968037534628
Switzerland,56.59717133656852
Syria,59.10176377977445
Tajikistan,62.51561192975849
Tanzania,55.99785760298404
Thailand,56.52189196333302
Togo,57.78638327389028
Tonga,60.57652088480582
Trinidad and Tobago,54.9050040371171
Tunisia,58.075031289817034
Turkey,54.73651618685628
Turkmenistan,54.7473521538876
Turks and Caicos Islands,58.74015838843451
Tuvalu,59.96701803063034
Uganda,54.27572173965291
Ukraine,58.3867569682734
United Arab Emirates,56.19240575124254
United Kingdom,60.87320903779916
United States,61.78624942917884
Uruguay,57.4598523783298
Uzbekistan,62.599131108819094
Vanuatu,48.15046776442848
Venezuela,55.62052002752921
Vietnam,52.97576278376059
Yemen,56.66936463712935
Yugoslavia,64.37282971187577
Zaire,59.734945332545706
Zambia,54.3152686388068
Zimbabwe,58.01542999626549
